geo,start,end,n_rows,n_hpi_index,n_air_passengers,n_net_migration_rate,n_gdp_pc_growth,n_unemployment_rate
AT,1949,2025,77,15,23,12,12,16
BE,1949,2025,77,20,31,12,12,16
BG,1949,2025,77,20,19,12,11,16
CY,1949,2025,77,20,23,12,12,16
CZ,1949,2025,77,17,23,12,12,16
DE,1949,2025,77,20,33,12,12,16
DK,1949,2025,77,20,25,12,12,16
EE,1949,2025,77,20,21,12,12,16
ES,1949,2025,77,19,33,12,12,16
FI,1949,2025,77,20,28,12,12,16
FR,1949,2025,77,20,32,12,12,22
HR,1949,2025,77,17,17,12,12,16
HU,1949,2025,77,18,24,12,12,16
IE,1949,2025,77,20,31,12,12,16
IS,1993,2025,33,20,23,12,11,16
IT,1949,2025,77,15,30,12,12,16
LT,1949,2025,77,19,23,12,12,16
LU,1949,2025,77,18,22,12,11,16
LV,1949,2025,77,19,22,12,12,16
MT,1949,2025,77,20,24,12,12,16
NL,1949,2025,77,20,33,12,12,16
NO,1993,2025,33,20,23,12,12,16
PL,1949,2025,77,15,21,12,12,16
PT,1949,2025,77,17,32,12,12,16
RO,1949,2025,77,16,24,12,11,16
SE,1949,2025,77,20,22,12,12,20
SI,1949,2025,77,18,22,12,12,16
SK,1949,2025,77,19,25,12,11,16
UK,1949,2025,77,15,27,7,6,0
