geo,net_migration_rate_nn,net_migration_rate_latest,origin_income_hump_nn,origin_income_hump_latest,network_stock_per_1000_nn,network_stock_per_1000_latest,network_hhi_nn,network_hhi_latest,asylum_share_inflows_nn,asylum_share_inflows_latest,naturalization_rate_per_1000_nn,naturalization_rate_per_1000_latest,air_growth_nn,air_growth_latest,gdp_pc_growth_nn,gdp_pc_growth_latest,unemployment_rate_nn,unemployment_rate_latest,inflation_hicp_nn,inflation_hicp_latest,long_rate_nn,long_rate_latest,pop_growth_nn,pop_growth_latest,complete_rows_upto_2025,latest_complete_year_upto_2025
AT,12,2024,24,2024.0,11,2024.0,26,2024.0,11,2024,10,2023,22,2024,11,2024,16,2024.0,30,2025,41,2025.0,11,2025,9,2023.0
BE,12,2024,12,2023.0,8,2023.0,12,2023.0,10,2023,10,2023,29,2024,11,2024,16,2024.0,30,2025,48,2025.0,11,2025,7,2023.0
BG,12,2024,13,2023.0,10,2023.0,13,2023.0,10,2023,10,2023,18,2025,11,2024,16,2024.0,28,2025,23,2025.0,11,2025,9,2023.0
CY,12,2024,0,,0,,0,,11,2024,10,2023,21,2024,11,2024,16,2024.0,29,2025,25,2025.0,11,2025,0,
CZ,12,2024,9,2023.0,3,2023.0,9,2023.0,10,2023,10,2023,22,2024,11,2024,16,2024.0,30,2025,25,2025.0,11,2025,3,2023.0
DE,12,2024,21,2024.0,11,2024.0,21,2024.0,11,2024,10,2023,32,2025,12,2025,16,2024.0,30,2025,59,2025.0,11,2025,9,2023.0
DK,12,2024,24,2021.0,8,2021.0,24,2021.0,11,2024,10,2023,23,2025,12,2025,16,2024.0,30,2025,43,2025.0,11,2025,7,2021.0
EE,12,2024,21,2024.0,11,2024.0,21,2024.0,11,2024,10,2023,20,2024,11,2024,16,2024.0,30,2025,6,2025.0,11,2025,4,2023.0
ES,12,2024,26,2024.0,11,2024.0,26,2024.0,11,2024,10,2023,32,2025,12,2025,16,2024.0,30,2025,48,2025.0,11,2025,9,2023.0
FI,12,2024,27,2024.0,11,2024.0,27,2024.0,11,2024,10,2023,26,2025,11,2024,16,2024.0,30,2025,39,2025.0,11,2025,9,2023.0
FR,12,2024,12,2024.0,11,2024.0,12,2024.0,11,2024,10,2023,31,2024,11,2024,22,2024.0,30,2025,56,2025.0,11,2025,9,2023.0
HR,12,2024,24,2024.0,11,2024.0,24,2024.0,11,2024,10,2023,16,2024,11,2024,16,2024.0,27,2025,21,2025.0,11,2025,9,2023.0
HU,12,2024,2,2022.0,2,2022.0,2,2022.0,11,2024,10,2023,23,2025,11,2024,16,2024.0,30,2025,25,2025.0,11,2025,2,2022.0
IE,12,2024,5,2010.0,0,,5,2010.0,11,2024,10,2023,29,2024,11,2024,16,2024.0,30,2025,38,2025.0,11,2025,0,
IS,12,2024,22,2024.0,11,2024.0,22,2024.0,10,2024,10,2023,22,2025,11,2024,16,2024.0,30,2025,0,,11,2025,0,
IT,12,2024,17,2024.0,11,2024.0,17,2024.0,11,2024,10,2023,28,2024,11,2024,16,2024.0,30,2025,77,2025.0,11,2025,9,2023.0
LT,12,2024,27,2024.0,11,2024.0,27,2024.0,11,2024,10,2023,22,2025,11,2024,16,2024.0,30,2025,25,2025.0,11,2025,9,2023.0
LU,12,2024,5,2007.0,0,,5,2007.0,11,2024,10,2023,21,2025,11,2024,16,2024.0,30,2025,41,2025.0,11,2025,0,
LV,12,2024,3,2019.0,1,2019.0,3,2019.0,11,2024,10,2023,21,2025,11,2024,16,2024.0,29,2025,25,2025.0,11,2025,1,2019.0
MT,12,2024,0,,0,,0,,11,2024,10,2023,23,2024,11,2024,16,2024.0,29,2025,25,2025.0,11,2025,0,
NL,12,2024,27,2024.0,11,2024.0,27,2024.0,11,2024,10,2023,32,2025,12,2025,16,2024.0,29,2025,40,2025.0,11,2025,9,2023.0
NO,12,2024,27,2024.0,11,2024.0,27,2024.0,11,2024,10,2023,22,2024,11,2024,16,2024.0,30,2025,0,,11,2025,0,
PL,12,2024,8,2019.0,1,2019.0,8,2019.0,10,2023,10,2023,20,2024,11,2024,16,2024.0,29,2025,25,2025.0,11,2025,1,2019.0
PT,12,2024,0,,0,,0,,10,2023,10,2023,31,2024,11,2024,16,2024.0,30,2025,40,2025.0,11,2025,0,
RO,12,2024,10,2023.0,9,2023.0,10,2023.0,10,2023,10,2023,23,2024,11,2024,16,2024.0,30,2025,21,2025.0,11,2025,8,2023.0
SE,12,2024,27,2024.0,11,2024.0,27,2024.0,11,2024,10,2023,20,2024,11,2024,20,2024.0,30,2025,39,2025.0,11,2025,9,2023.0
SI,12,2024,27,2024.0,11,2024.0,27,2024.0,11,2024,10,2023,21,2025,11,2024,16,2024.0,30,2025,24,2025.0,11,2025,9,2023.0
SK,12,2024,26,2024.0,11,2024.0,26,2024.0,11,2024,10,2023,24,2025,11,2024,16,2024.0,30,2025,25,2025.0,11,2025,9,2023.0
UK,7,2019,21,2019.0,6,2019.0,21,2019.0,6,2019,6,2019,26,2019,6,2019,0,,24,2019,41,2024.0,6,2020,0,
