variable,n,mean,std,p25,p50,p75
hpi_growth,1056,5.313097960291994,6.98882781481723,1.2,5.0,8.687249999999999
immigration_rate_per_1000,313,14.230663748873274,11.814072114130225,6.5037541650193695,11.012151872678043,16.544342507645258
net_migration_rate,1574,2.8678436262897646,6.497377949994679,-0.5692578515896431,1.5964133900965696,5.199656578461887
origin_gdp_pc_ppp_const_wavg,477,34369.25703097844,8811.836162007829,27685.226328835077,34429.516443322165,39548.09929190265
origin_gdp_pc_ppp_const_wavg_log,477,10.166921622597723,0.3384294369763837,9.930022812989925,10.150122468622257,10.419754976270928
share_high_gdp_origins,477,0.6334722672932531,0.20965942252765396,0.4943042537851478,0.6568621354393384,0.7900765915637631
share_low_gdp_origins,477,0.09214369819784957,0.08713233196428755,0.014956315711535613,0.06916632287137825,0.13943661971830987
share_group_LATAM_CARIB,442,0.04594478636263179,0.09713448813268098,0.006505464963208248,0.01709619464953486,0.030299238140473417
share_group_EU_EEA_CH_UK,477,0.5110582284977656,0.2132354381897304,0.34681372549019607,0.5125180201826045,0.6347147147147147
share_group_MENA,457,0.061063042204304384,0.05996136122401755,0.014226100151745068,0.04183927091963546,0.09591259836503935
share_origin_MA,441,0.012017114966793975,0.02589116664166275,0.00042765502494654313,0.001913804613901046,0.005132062779932403
od_gdp_coverage_share,478,0.9841028901790907,0.05146579895698239,0.986132627857342,0.9965851770378108,0.9987141934861302
od_vs_agg_immig_ratio,235,0.9234753878349534,0.18612887951130866,0.9620796777147032,0.9882412793488069,0.9996959822922462
