sample,factor,comparison,full_r2_inclusive,full_r2_within,full_rmse,full_mae,without_block_r2_inclusive,without_block_r2_within,without_block_rmse,without_block_mae,delta_r2_inclusive,delta_r2_within,delta_rmse,delta_mae
annual_headline_composition,migration,full_minus_without_block,0.7754210045963874,0.06944235757174877,2.5925590219822445,1.9821458043170923,0.7697446411581326,0.06880931378270283,2.625118775372886,2.012944286984623,0.005676363438254839,0.0006330437890459395,0.03255975339064143,0.03079848266753049
annual_headline_composition,air,full_minus_without_block,0.7754210045963874,0.06944235757174877,2.5925590219822445,1.9821458043170923,0.7747767598780968,-0.12152680380137637,2.5962749668373295,1.9897095850496116,0.0006442447182906097,0.19096916137312514,0.003715944855084974,0.007563780732519287
annual_headline_composition,macros,full_minus_without_block,0.7754210045963874,0.06944235757174877,2.5925590219822445,1.9821458043170923,0.6973287974715554,-0.5443128148738559,3.0097445450817055,2.281872122319453,0.078092207124832,0.6137551724456046,0.417185523099461,0.2997263180023608
annual_headline_composition,origin_income_comp,full_minus_without_block,0.7754210045963874,0.06944235757174877,2.5925590219822445,1.9821458043170923,0.7752047786176489,0.06839864587243027,2.5938067872591777,1.9825748551726643,0.00021622597873849347,0.0010437116993184947,0.0012477652769331549,0.0004290508555719885
annual_extended_composition_groups,migration,full_minus_without_block,0.7794992786076331,0.13897768551684953,2.5870084954889068,1.9801399441314906,0.7732479204763733,0.14999058156163492,2.6234239975012135,2.0110716357635217,0.0062513581312598765,-0.011012896044785392,0.0364155020123067,0.030931691632031022
annual_extended_composition_groups,air,full_minus_without_block,0.7794992786076331,0.13897768551684953,2.5870084954889068,1.9801399441314906,0.7786998717210142,-0.07427633233580488,2.5916937440864163,1.9870571631628287,0.0007994068866189474,0.2132540178526544,0.004685248597509517,0.006917219031338018
annual_extended_composition_groups,macros,full_minus_without_block,0.7794992786076331,0.13897768551684953,2.5870084954889068,1.9801399441314906,0.6996994996614072,-0.5597755442529873,3.019053961172024,2.301173984552895,0.07979977894622592,0.6987532297698368,0.4320454656831174,0.3210340404214045
annual_extended_composition_groups,origin_income_comp,full_minus_without_block,0.7794992786076331,0.13897768551684953,2.5870084954889068,1.9801399441314906,0.7781623911187998,0.13690830482243566,2.5948391113097475,1.9805644120557324,0.001336887488833316,0.0020693806944138693,0.00783061582084077,0.00042446792424177815
annual_extended_composition_groups,origin_region_shares,full_minus_without_block,0.7794992786076331,0.13897768551684953,2.5870084954889068,1.9801399441314906,0.7733066437535998,0.09496644219830985,2.6230842739791687,2.000385799184689,0.006192634854033319,0.04401124331853967,0.03607577849026189,0.020245855053198536
quarterly_traveler_quality_full_interact,air_growth,full_minus_without_block,0.5525576709660767,-0.03716700857125699,4.781192152232622,3.6353212380921796,0.5467415056329457,0.0070962720084361,4.812166444644335,3.654920138334528,0.005816165333131007,-0.04426328057969309,0.030974292411713122,0.01959890024234845
quarterly_traveler_quality_full_interact,route_shocks,full_minus_without_block,0.5525576709660767,-0.03716700857125699,4.781192152232622,3.6353212380921796,0.5525157638420155,-0.03708408232278915,4.781416048485131,3.6354187323061318,4.190712406115793e-05,-8.292624846784058e-05,0.00022389625250873735,9.749421395222058e-05
quarterly_traveler_quality_full_interact,airfare_proxy,full_minus_without_block,0.5525576709660767,-0.03716700857125699,4.781192152232622,3.6353212380921796,0.5504456121647232,-0.061802654461603934,4.792463180683657,3.6403278449371412,0.002112058801353456,0.024635645890346947,0.011271028451035114,0.005006606844961681
quarterly_traveler_quality_full_interact,airline_mix_level,full_minus_without_block,0.5525576709660767,-0.03716700857125699,4.781192152232622,3.6353212380921796,0.5525575879727291,-0.03732373816256751,4.781192595649681,3.6353553838826125,8.299334752770449e-08,0.00015672959131052266,4.4341705862649405e-07,3.414579043292676e-05
quarterly_traveler_quality_full_interact,operating_intensity,full_minus_without_block,0.5525576709660767,-0.03716700857125699,4.781192152232622,3.6353212380921796,0.5451444112715822,-0.013488374566445138,4.820637025758082,3.6757872263245286,0.007413259694494467,-0.02367863400481185,0.039444873525460444,0.04046598823234904
quarterly_traveler_quality_full_interact,interactions,full_minus_without_block,0.5525576709660767,-0.03716700857125699,4.781192152232622,3.6353212380921796,0.552045468445576,-0.04686478473528166,4.783927966512388,3.6345953534710116,0.0005122025205006597,0.009697776164024674,0.002735814279765769,-0.0007258846211679604
