sample,step,model_label,blocks_included,added_block,nobs,n_entities,n_periods,r2,r2_inclusive,r2_within,r2_overall,rmse,mae,corr_actual_fitted,delta_r2_inclusive,delta_r2_within,delta_rmse,delta_mae
annual_headline_composition,0,FE only,,,232,24,16,0.0,0.66529504542601,0.0,0.0,3.165010502481007,2.4322392713471914,0.8156562054113299,,,,
annual_headline_composition,1,FE + migration,migration,migration,232,24,16,0.06711191543351713,0.6877577360325589,-0.012654043884440913,-0.015278877736718988,3.0569612137025426,2.348127620498723,0.829311603700659,0.02246269060654882,-0.012654043884440913,-0.10804928877846454,-0.0841116508484685
annual_headline_composition,2,FE + migration + air,migration|air,air,232,24,16,0.08553263732613503,0.6939232429168476,-0.657312151605459,-0.3943327188718735,3.026629498567068,2.308996405564375,0.8330205537181223,0.006165506884288741,-0.6446581077210181,-0.030331715135474724,-0.0391312149343479
annual_headline_composition,3,FE + migration + air + macros,migration|air|macros,macros,232,24,16,0.3283779689832531,0.7752047786176489,0.06839864587243027,-0.04642949858999623,2.5938067872591777,1.9825748551726643,0.8804571418403332,0.08128153570080132,0.7257107974778892,-0.4328227113078902,-0.3264215503917107
annual_headline_composition,4,FE + migration + air + macros + origin_income_comp,migration|air|macros|origin_income_comp,origin_income_comp,232,24,16,0.3290239886366332,0.7754210045963874,0.06944235757174877,-0.030116458569791726,2.5925590219822445,1.9821458043170923,0.8805799251609068,0.00021622597873849347,0.0010437116993184947,-0.0012477652769331549,-0.0004290508555719885
annual_extended_composition_groups,0,FE only,,,207,20,15,2.220446049250313e-16,0.6544590272824575,0.0,0.0,3.238490469515462,2.500672784601273,0.8089864197144826,,,,
annual_extended_composition_groups,1,FE + migration,migration,migration,207,20,15,0.06670965524113115,0.6775099464441299,-0.010749110439503662,-0.020246001434969463,3.128606979143626,2.4185529516470172,0.8231099236700591,0.023050919161672345,-0.010749110439503662,-0.10988349037183598,-0.08211983295425584
annual_extended_composition_groups,2,FE + migration + air,migration|air,air,207,20,15,0.08824373191515622,0.6849508522446466,-0.7257312443572068,-0.4615824243469615,3.092302717830275,2.3665922182527135,0.8276175760849012,0.007440905800516706,-0.7149821339177032,-0.036304261313351294,-0.05196073339430374
annual_extended_composition_groups,3,FE + migration + air + macros,migration|air|macros,macros,207,20,15,0.3437125917870206,0.7732258105838122,0.0952051527795088,-0.07032693951369651,2.623551895355511,2.0002478723028596,0.8793325938368328,0.08827495833916565,0.8209363971367156,-0.46875082247476385,-0.3663443459498539
annual_extended_composition_groups,4,FE + migration + air + macros + origin_income_comp,migration|air|macros|origin_income_comp,origin_income_comp,207,20,15,0.3439465240155257,0.7733066437535998,0.09496644219830985,-0.05759809228740753,2.6230842739791687,2.000385799184689,0.8793785554319593,8.083316978757527e-05,-0.00023871058119895316,-0.00046762137634237533,0.00013792688182956425
annual_extended_composition_groups,5,FE + migration + air + macros + origin_income_comp + origin_region_shares,migration|air|macros|origin_income_comp|origin_region_shares,origin_region_shares,207,20,15,0.36186808858522257,0.7794992786076331,0.13897768551684953,-0.17518364471796222,2.5870084954889068,1.9801399441314906,0.8828925634569776,0.006192634854033319,0.04401124331853967,-0.03607577849026189,-0.020245855053198536
quarterly_traveler_quality_full_interact,0,FE only,,,1993,28,86,1.1102230246251565e-16,0.535677258598271,0.0,0.0,4.870545916561925,3.7064837523196483,0.7318997599386616,,,,
quarterly_traveler_quality_full_interact,1,FE + air_growth,air_growth,air_growth,1993,28,86,0.013839190211159202,0.5421031093358963,-0.02382988332708047,-0.018485935902395223,4.836726294176093,3.681711346676014,0.7362765168983043,0.00642585073762536,-0.02382988332708047,-0.03381962238583203,-0.024772405643634254
quarterly_traveler_quality_full_interact,2,FE + air_growth + route_shocks,air_growth|route_shocks,route_shocks,1993,28,86,0.014415089494099198,0.5423705124697223,-0.03276079854534708,-0.024831776197043798,4.835313809538302,3.6830329834816684,0.7364580860237216,0.0002674031338260052,-0.00893091521826661,-0.0014124846377905342,0.001321636805654336
quarterly_traveler_quality_full_interact,3,FE + air_growth + route_shocks + airfare_proxy,air_growth|route_shocks|airfare_proxy,airfare_proxy,1993,28,86,0.018288588868110356,0.5441690663178811,-0.01737207319490275,-0.01088972233388108,4.82580269405798,3.678197127348428,0.7376781590354143,0.001798553848158746,0.015388725350444332,-0.009511115480322019,-0.004835856133240224
quarterly_traveler_quality_full_interact,4,FE + air_growth + route_shocks + airfare_proxy + airline_mix_level,air_growth|route_shocks|airfare_proxy|airline_mix_level,airline_mix_level,1993,28,86,0.018506296738217798,0.5442701530329541,-0.02346493965035812,-0.013411924416255161,4.82526757066648,3.6784203516623935,0.7377466726681676,0.0001010867150730288,-0.00609286645545537,-0.000535123391500747,0.00022322431396526454
quarterly_traveler_quality_full_interact,5,FE + air_growth + route_shocks + airfare_proxy + airline_mix_level + operating_intensity,air_growth|route_shocks|airfare_proxy|airline_mix_level|operating_intensity,operating_intensity,1993,28,86,0.035251794469277065,0.552045468445576,-0.04686478473528166,-0.09072112919272213,4.783927966512388,3.6345953534710116,0.7429976234454425,0.007775315412621886,-0.023399845084923543,-0.04133960415409188,-0.04382499819138186
quarterly_traveler_quality_full_interact,6,FE + air_growth + route_shocks + airfare_proxy + airline_mix_level + operating_intensity + interactions,air_growth|route_shocks|airfare_proxy|airline_mix_level|operating_intensity|interactions,interactions,1993,28,86,0.03635491192364604,0.5525576709660767,-0.03716700857125699,-0.08008611211691563,4.781192152232622,3.6353212380921796,0.7433422300435238,0.0005122025205006597,0.009697776164024674,-0.002735814279765769,0.0007258846211679604
