row_order,variable_label,n,mean,sd,p10,median,p90
1,Annual HPI growth (\%),1056,5.475573023423307,9.252797352817751,-2.3884999999999996,5.0,13.6695
2,"Net migration rate (per 1,000)",1574,2.8678436262897646,6.497377949994679,-3.1617367006844903,1.5964133900965696,10.238934990672032
3,Air passenger growth (\%),1684,6.3578026002421995,29.35343844250829,-5.005275097512544,6.572948347127916,23.30098114798361
4,GDP per capita growth (\%),2676,2.4557303978706524,4.132851668819801,-1.4345745773895149,2.3867603817792347,6.71981721611813
5,Unemployment rate (\%),1641,7.945237050578915,4.692510804513941,3.536,6.887,13.664
6,HICP inflation (\%),2684,16.926290341608265,109.18087398467004,0.7340306286852694,3.60799339314759,17.142002978591446
7,Quarterly HPI YoY growth (\%),4139,5.339857757078278,9.735825376784184,-2.719494764635318,4.838,13.444410642885362
8,Quarterly air passenger YoY growth (\%),2554,5.835825646706928,69.2151036588036,-7.433493955362777,6.426640006338857,35.964173106538844
9,Quarterly HPI QoQ log change (pp),2207,1.0398835930051655,2.704510432583413,-1.8160091610984883,1.15863694620435,3.7603779708324763
